quoter,quote,quotee,qomments,comments,id,1292
KS,"I use my laptop as a heater for my room. You aren't allowed space heaters, but you are allowed computers running protein-folding simulations.",AAH,,,802386426141474828,
BR,Don't recruit elementary schoolers into the yakuza!,?,,,809630023631765514,
BR,"Not the yakuza, the real-estate business!",?,,,809630023631765514,
BR,...That's worse!,?,,,809630023631765514,
HER,is real life a dating sim?,?,,,810735259410235392,
ALT,who brings milk on a strip mining trip?,ABK,,,816819617468514347,
ALT,just think about how much milk you could carry!!!,?,,,816819970130182154,
ALT,"i'm thinking about it, and i'm rapidly coming to the conclusion that i neither want nor need that much milk",?,,,816819970130182154,
JAMB,I'm playing some Dn'tD tomorrow,LH,,,817961645136937020,
ABK,The problem is I want to do something with my life and I also like math and these seem incompatible.,ALT,,,818048094906089482,
ALT,i've never taken a shit in the middle of *pansy*,ABK,,"bending the definition of ""quote"" slightly",818056866302132225,
ALT,"it's more of a convention in the sense of, like, anime convention. imagine if instead of calling it the geneva convention, you called it genecon",DHH,,,818772239305932811,
ALT,do you want some scars?,DHH,to alt,,819091276984221717,
PS,I think being nonbinary is positively correlated with knowing what a waifu is,JY,,,823413414055247922,
ABK,Superheroes have legs.,JB,,,832645010486853713,
ABK,The sun... represents... cocaine.,AYB,,,832807767194468392,
ABK,Stars... represent... cocaine.,AYB,,TODO linked (two minutes later),832808224809418772,
IXA,chicken drop soup is just egg drop soup but you waited too long,MLE,,,836018961820155945,
ALT,i don't know how to set the house on fire without the fire department coming,ABK,,,836053725775659018,
ALT,"can i, staying only on et property, set the *neighbors*' houses on fire?",ABK,,,836054841142935563,
ABK,"If you're looking at the homework and you got a really low score, you're probably looking at the wrong class and you should talk to me to make sure you're in the right class on GradeScope.",Ankur Moitra,,,836997128475377664,
ALT,bagels are silly,DHH,,,840022247422951436,
ALT,"i agree, bagels are dumb",JB,,,840022247422951436,
ALT,actually here's another fun fact: i've never been to a pasta with all the sauces event,ALT,,,847706314221682699,
ALT,*what?!!*,JB,,,847706314221682699,
KS,"I'm good aligned, but I messed up hard",AAH,,,850802810866237480,
ALT,oh no! tiny head,ABK,,,861508381759242250,
ALT,"yeah andrey's head is just, like, massive",JB,,,861508446930731028,
KS,"I am almost invincible, unless they kill me.",AAH,,,871112904689221633,
ALT,"here's a fun little bug, if you dab multiple times in succession, then your hair seems to disappear i think?",?,,,875875212363698224,
ALT,...oh yeah it does,?,,,875875212363698224,
KS,I think triangles are more interesting than water molecules.,AAA,on the topic of poly shipping in anime,,876572401343823893,
ALT,rushees go to the haunted plague box,ABK,,,880281239913893909,
ALT,the van is bigger than pause,DHH,,,882549564643627038,
RYN,I would be happy to inhale Anthony's breath,DHH,,,886800433455181834,
ALT,"when i see rl shit, i think, these are just small andies, that are buddha naturing the world",AAH,,,887555774841257985,
ALT,so our deck is the size of the midwest,DHH,,,889367111145762836,
ALT,"the deck just barely fits in the universe. not like vertically, but if you spread it out more",DHH,,,889367630123765830,
RYN,well a little bit of felony trespass never stopped anyone from playing SET,AYB,,,893340403552645191,
LMN,"we are sex positive, but we are not sex active which is why I'm going to [redacted] tomorrow",?,,,893550231227072554,
CJQ,i have a very strong posterior that genders don't change,AAH,,,894391006374539325,
AYB,"after they do this, they're too broken to continue",ALT,,,894724136578977792,
RYN,Sharing a COVID test is the new French kissing,AAH,,,894727416575057920,
RYN,[Baguettes] are like French boffers,ABK,,,895893320465797150,
HER,memeing is evil and an activity of degenerate zoomers,AWD,,,896966642318315531,
ALT,you just explode your nose,VLB,,,897687114437759006,
DHH,do you have another obvious piece of metal sticking up,JB,,,898641972217118801,
ALT,does the legal system assume the law of excluded middle?,DHH,,,898678593083809796,
DHH,the marshmallow is the best part of the graham cracker,ABK,,,898728375600955422,
RYN,"Okay, Canada is part of ET, got it.",ABK,,,899098042978930738,
RYN,"If I ask it [the ethics ai] if I should park in a handicapped spot if I'm not disabled, it says ""it's wrong,"" but if I ask it if I should park in a handicapped spot if I'm not disabled and I need to kill someone, it says, ""it's right""",ALT,,,900146636456599554,
RYN,"I mean, I think I agree?",DHH,,,900146636456599554,
STL,Is the server louder than Alex is tall?,ABK,,,900211916042010624,
STL,They both can be compared by volume,ABK,,later,900211916042010624,
ALT,what about executing a bash script that executes a python?,DHH,,,900228295910649869,
ALT,is it better to execute a mafia member than a bash script?,JB,,,900228740645265439,
ABK,Does anyone understand a relationship between gingerbread and necromancer?,LBS,,,904177651323916288,
AYB,Your balls are so small!,ALT,,,904971144615055430,
ALT,what if this part of your screen is upside down?,DHH,,,904971395430228019,
ALT,what a stupid question!,JB,,,904971395430228019,
ALT,yeah i guess a papercutter is like a directional guillotine,DHH,,,905562503025655899,
STL,A computable number is an open source real number,DHH,,,905658794334359585,
ALT,i don't have a from first principles argument that potato chips taste bad,DHH,,,905668591544860713,
ALT,but that was by far the worst my thumb has been,JB,,,905671955246612481,
ALT,what did i just walk in on?,RYN,,,906783959151689788,
ALT,we were just talking about how north korea is a principal ultrafilter,DHH,,,906783959151689788,
ALT,"oh ok, glad we're on the same page now",RYN,,,906783959151689788,
RYN,Evolution is just Buddha nature life,ALT,,,907102164609036319,
ALT,and they have all the properties that you learned about partial orders in elementary school,Armando Solar-Lezama,,,908061914901393438,
ALT,i think you guys are giving too much weight to a silly little face,ABK,,,908269367526031380,
STL,now ET includes Italy as well as Canada,AYB,,,909995142155477022,
RYN,How many points is a kidney?,ALT,,,911042511072546876,
RYN,NO we're not doing this,DHH,,,911042511072546876,
AAH,I have never purchased sex chocolate at an adult toy store.,ABK,,,913207965513842689,
DHH,Almond tastes more like rice than like cow. Why doesn't Python quote me on that kind of sentence?,ABK,,,913211737271042078,
ALT,i think we should absolutely switch to base 7. look at all my fingers! *holds up 7 fingers*,AAH,,,916514012945059870,
RYN,You can't just yeet a star,JB,,,916834758334488576,
AYB,I’m sacrificing my king,RN,,,917256440652107796,
AYB,kings are so good at blocking,RN,,,917259596974944267,
STL,"Queen takes king, check",?,,,917290327168147466,
AYB,Am I not a normal club member?,DHH,,,917969360478437387,
AYB,No,many,,,917969360478437387,
RYN,Chocolate is just small chalk,DHH,,,918635955924140053,
ALT,okay these soups are actually more liquid than i expected,VLB,,,919107594918969414,
PS,you are filled with a sense of nominative determination,IXA,,,925561580777779220,
HER,I wonder if there are any good recursive dishes,AWD,,,929485995290787871,
DHH,I liked the anxiety tentacles,JHH,,,931343061743722576,
RYN,OH! An Oscar winner is like someone who won an Oscar!,ABK,,,932104796486402108,
RYN,This is the hardest banana question I've ever been asked,ALT,,,934595661813395496,
STL,We should elect a committee to change the light bulb,VLB,,,936835528928657468,
DHH,aren't there like weird people who like spaghetti,JHH,,,937552263440912384,
RYN,"Like if I were a really rich person, I would want to be served a plate of bite sized lasagnas",VLB,,,937618893072113664,
ALT,they're all quoting themselves,ALT,,,937771854607843358,
ALT,"i should in fact cook the hamburger patties. because i didn't buy frozen ones, i bought live ones",VLB,,,940385165836955748,
ALT,there's no way that's a canonical baguette!!,?,,,940427302909669429,
RYN,I think banana acceleration is positive,ALT,,,940489025469423676,
RYN,But what's the banana jerk?,DHH,,,940489025469423676,
ALT,i will play the dragon and 7 and 8 and 9 and whatever and J and ... puppies??,CJQ+ZS,alternating,,941521769225941002,
RYN,"I mean, I don't want a 60 episode podcast about Dominion.... actually maybe I do?",DHH,,,941567959816634378,
ALT,i'm happy to inform you guys i'm no longer staring at breast,YW,,,942937825991614474,
ALT,i think the stoichiometry is in las vegas,AYB,,,942966968531701761,
AYB,"people don't completely stop existing, you just need a ouija board to talk to them",DHH,,,944060311286214686,
DHH,[a laptop] is a generalized ouija board,ABK,,,944060400452907068,
YW,…and they started coding in a Google doc,VLB,,,944377580641992755,
RYN,Have you ever met a straight person?,DHH,,,944398726569525278,
AYB,Now only Puerto Rico is in treble clef,ALT,,,944735100376068146,
RYN,I can filibuster you in five different languages,KT,,,944787216545243196,
DHH,"but--like--Andrey and names, you know",ALT,,,944811392597372988,
ALT,"friggin deciliters, man",JB,,,944888000012255252,
ALT,are radiators fruit?,KT,,,945133227465666570,
ALT,new pasta shapes idea: biblically accurate angel hair,DHH,,,945828651486826506,
AYB,[political science] is like greenland,DHH,,,946626248694698004,
AYB,i feel like i get quoted a lot,DHH,,,946626462507753472,
DHH,I'm getting a PhD in how bureaucracies work,KT,,,946630185707524096,
DHH,I don't know if Andy's a good window,AYB,,,946635724164304937,
DHH,Sacks are for two things: kidnapping people and potatoes,ABK,,,946650784861421568,
STL,I appreciate how much Alex chars about this,ALT,,,946668801968201778,
ALT,"metal is a form of sugar, right?",AYB,,,946959763940450344,
ALT,"there's a mushroom, and a house, and they both... blew up",JB,very carefully,,947375149567606794,
ALT,i'm scared this upside down mushroom won't function when you move it,JB,,,947384298745499708,
DHH,What is the purpose of moving mushrooms around?,RYN,,,947391089751502849,
CJQ,i like to blow up houses.,JB,,,947394572915453954,
ALT,"maybe the moths, like... added chips",AYB,,,947417857761873961,
ALT,"you're about to cause a poodle to die, hayashi",JB,,,947746816357724170,
ALT,it's bad when your head explodes,JB,,,948121888478093312,
DHH,I wouldn't say that like in general Harvard people are fun,AAH,,,948371546890707045,
YW,"the cross registered students get MIT IDs and they like going to MIT parties. ...what's it called, ZBT?",a harvard person,,,948429179408515173,
RYN,I can't come down here with a quantum superposition of shirt sizes,DHH,,,949145860980236308,
RYN,It's basically the same as Elaine. It's Edward.,AYB,,,949162756509167706,
AYB,I didn't know flags were mutable,YW,,,949169271982944306,
VLB,"shapes carry semantic meaning-- even if we didn't have the STOP and just had the red hexagon, everyone would still know what it means",my 6.033 tutorial instructor,drawing a hexagon on the blackboard,,949374161053167646,
ALT,"so, to be clear, butter, came after, human taste",JB,,,949810478249549826,
DHH,See you're setting yourself up for failure in the future when someone forces you to eat your own silverware,VLB,,,950076631538622544,
YW,I'm gonna throw some random bits onto the floor,AYS,rolling dice for no purpose,,950192040929538128,
ALT,this is not a club,?,,,950235513216987186,
ALT,why?,?,,,950235513216987186,
ALT,because it's a bee,?,,,950235513216987186,
ALT,some foods are necessarily going to be somewhat explosive,JB,,,950646792544989194,
AAH,"Haskell, I don’t know it. Isn’t that for old people.",Sirui,,,952291595229732954,
RYN,If only I was as talented as a mouse,AYB,,,952360931764109323,
DHH,it's a dancing multiocular o,ALT,,,952372015325646860,
DHH,"there's like cardinals, ordinals, and table numbers",YW,,,952379227376865280,
RYN,banana isn't an animal,DHH,,,952393380686606396,
YW,"Look, Britain is in the French city of London",EJ,,,952584942368477255,
DHH,All of the candidates taste the same; they're just different shapes,AYB,,,952711062103408670,
ALT,there's a limited number of endorphins that can fit into a brain,ABK,,,952714752700870676,
ALT,"i've been quoted, abk",AYB,,,952716731011444768,
ALT,"well, maybe i should have thought better. cause this is like, america",VLB,,,952773794324422676,
ALT,"i'm not sad, i'm just sad",VLB,,,952782214171611166,
RYN,Is the van more lost than you are tall?,AAH,to ayb,,952920924028538910,
ALT,what's wrong with you? why did you start saying things when you could just not say things,YW,to aah,,953489978762096711,
DHH,I didn't realize how large like 4 was,ALT,,,953833239385100348,
DHH,is [the whiteboard] taller than alex is tall?,AYB,,,953854986016673802,
ALT,"it turns out if you just meet random people, they're very unlikely to be algebraic geometers",Dhilan Lahoti,,,953866795675177080,
DHH,*rips open and pours giant hot chocolate powder bag into the trash*,AYB,,,954493497145192479,
DHH,"huh, there weren't any moths in that",AYB,,,954493497145192479,
DHH,This is making me want to learn square dancing,RYN,,,956024559415468042,
RYN,We should let them experience the cheese,LMN,,,956347186004774995,
ALT,"the bathtub is, like, a historic artifact at this point",JB,,,956441067467706368,
KT,calculus is the highest level of math,DHH,,,957043546639188060,
RYN,So imagine plastic beads filled with butter,DHH,,,957107191318466570,
DHH,Who wants to sleep on a bunch of cherry pits?,AWD,,,957107372390760488,
ALT,i've played O(1) games of chess,VLB,,,958574857388457994,
ALT,*everybody's* played O(1) games of chess!!,JB,,,958574857388457994,
ALT,"that's the joy of childhood! you can buddha nature chess... oh my god, if i ever have children it won't be good",AAH,,,958575082349936700,
RYN,Are we out of sinews?,AWD,,,960001822062420018,
ALT,you sound like a disappointed drug dealer,YW,to dhh,,961277202165559368,
ALT,oh is that the weird russian guy,AMS,,,961371415163052135,
ALT,he's neither weird nor russian,Rafael Abramovitz,,,961371415163052135,
DHH,"oh no, n is after m",ALT,,,961457448579915866,
DHH,"oh nice, my name is like optimal",ALT,,,961457586480246804,
ALT,do i dare add one more tomato?,YW,,,961507568348463134,
YW,I think that the idea that waking up early is good for you is just a lie that’s perpetuated by morning people to sell more morning,RYN,,,961612325675229184,
YW,And here are some vibrators you can use,EJ,pointing at vibrating alarms,,961868990286790716,
VLB,"so by two, i actually mean one line… of three",ALT,,,962184541877985310,
ALT,it's been sitting in laundry room for longer than i am,JB,,,962884185981337621,
STL,Are you challenging my ability to make sounds?,YW,,,963814774657912832,
ZS,"Popcorn tastes bad, but the word does not",RYN,,,963815167068627004,
ALT,are two egg but three eggs?,JB,,,964054672400871444,
RYN,Games that shouldn't be eaten that way,ABK,,,964538351686385694,
RYN,I'm really bad at knowing numbers,ALT,,,964538411753041920,
ALT,show me how to poo,DHH,,,964762355265323108,
YW,"I would like to yell,",RN,yelling,,965371845836677150,
STL,"If you're a speedrunner, you have to do it fast",ALT,,,965377778516115548,
ALT,The shape could be adjusted by moving the ducks.,Wikipedia,,,965410465675092018,
YW,I would eat broccoli for points,EJ,,,965740544246562877,
ALT,that means ritam must die,ABK,,,965854875403575338,
ALT,you're like a frog,DHH,to alt,,965856057857552404,
ALT,"do you disagree? like, the way you bounce",DHH,,,965856115520860200,
ALT,i recommend being addicted to milk,YW,,,966172791072239656,
YW,Can you milk me?,ABK,,,966173178760134737,
YW,yeah,ALT,,,966173178760134737,
YW,"...well, no but yeah",ALT,,,966173178760134737,
ALT,it just *looks* like a brown egg. because it's brown,DHH,,,966528427052109905,
DHH,there are definitely eleven things I can pick up with tongs,RYN,,,966530189414768661,
RYN,I don't believe in vowels,DHH,,,967253227567464469,
ALT,"wait what if we redid the states and made them, like, a hexagonal grid?",?,,(not said by an et person but exudes strong et energy),967629377519095849,
YW,I think that blanketly categorizing things as bad is...bad,RYN,,,967982194138181682,
RYN,Counting to 5 is hard,VLB,,,969428709243224145,
RYN,"Regarding the accessory olfactory system, I can't tell you whether it's like an appendix or a tailbone",my 7.29 TA,,,969657429669347328,
DHH,is round dancing dumplings?,ALT,,,969724601464684585,
ALT,"if you fall over, you use the wifi",AYB,,,969735755163398184,
STL,Humans don't fly,ABK,,,970575685276008448,
ALT,this seems like bad ... ... that's the end of the sentence,RYN,,,971176095737077823,
ALT,why is della 2 people?,AYB,,,971887482260054066,
ALT,mitosis,RYN,,,971887482260054066,
RN,"URLs are just filled with dancers, you know",JB,,,971902484270440448,
YW,Asparagus is the dual. Assingelus is the singular,ALT,,,972266301806485606,
ALT,"i think the quack is somehow, like, a bad sign",AAH,,,972601232462061598,
ALT,we save this thing as proto-victory,AAH,,,972601232462061598,
ALT,we don't know. it seems to be another construction of gender,AAH,,,972601232462061598,
DHH,I hate mathematicians,RYN,,,973040667334967318,
RYN,"If you want to learn someone's age, just break their arm",DHH,,,973043041071951892,
DHH,"his arm wasn't broken, it was dislocated, and I didn't do it",ABK,,,973043055219339374,
ALT,"without ice, rice is just r",AYS,,,973043377350271016,
DHH,Oatmilk is just goatmilk but you took all the Gs out,RYN,,,973043650898591756,
RYN,Quadle fits with like ET,AYB,,,973058205498359869,
RYN,[stare at him in confusion],several,,,973058205498359869,
RYN,Cuz like...quadle. ..sounds like wadddle...and ducks waddle,AYB,,,973058205498359869,
ALT,"you could always, like, tape bowling balls to your legs",DHH,,,973706254910386236,
ALT,watermelons used to function. then we genetically engineered them to not function.,AAH,,,973709108056313886,
RYN,Is chicken more like steak or butter?,YW,,,974089445911429190,
DHH,wow you guys are flipideedoodads,ABK,,,974448967133855854,
DHH,who counts with numbers?,AMS,,,974481249739616256,
ALT,the problem is that not everyone wants to be assassinated,VLB,,,974513510698582046,
STL,I think it's really sad that the physical quoteboard hasn't been updated since prepandemic.,AYB,,,974703277117673602,
STL,That was right around the time we got a Discord and set up a channel for this,ABK,,,974703457057505321,
STL,"Also, this was used criminally infrequently before the pandemic even.  For example I am certain I said some things stupid enough to be quoted but am not on it. The frequency of quoting now is far greater because you can do it from anywhere.",ALT,,,974703950303465492,
ALT,hmm,ALT,,,974708940841566269,
STL,I can be in any temperature for like 5 minutes,RYN,,,974716835276664852,
AYB,-alt,LBS,,,974730961830948896,
YW,"I like tall, I am tall",AYB,,,974832451115446344,
ALT,"what are you talking about, discord reactions?",ALT,,,974873068671496212,
ALT,"no, something far less serious. market manipulation",ABK,,,974873068671496212,
ALT,"maybe fall down again, but like, better",DHH,,,975270812292640858,
ALT,"ok, i think it's night",AYB,at 23:25,,975599879969710153,
ALT,i think it's np hard to factor 6,AYB,,,975615879062630440,
AYB,I have a coronavirus,ALT,,,975869962692489346,
ABK,don't hit your head,ABK,,,976199782953525259,
ABK,I hit my head... I hit my head again,ALT,,,976199782953525259,
ALT,"ok, who wants to date me? guys only",RN,,,977429888032202803,
YW,This is now an object I have,ABK,about the banana split,,978078663578890270,
STL,Your pizza will not help you find north,AMS,,,978873737032134677,
ALT,it drips people all over the floor,VLB,about et,,978876395717541958,
ALT,how useful are triangles?,VLB,,,979676803478196235,
RYN,The sky is 18 months long,ABK,,,979995596637241354,
ABK,I don't think evil is inherently bad.,RYN,,,980198628708733019,
YW,"Wait a minute, you’re only born three months before me… you’re not my mom!",EJ,,,980337570749771807,
ALT,"usually, if you're holding something, you should attempt to put it down",ABK,,,981353120556785715,
ALT,"ok, a whole bunch of things happen",ABK,,,981371575863500880,
ALT,"oh, no, i hate you!",AMS,,,981371575863500880,
DHH,why does my search bar have fish in it now?,ALT,,,981630849705459783,
DHH,"okay, four is a number. in particular, it's two plus two. but it's also three plus one. maybe i should just stop talking.",ALT,,,981760964577873920,
ALT,i got too many radiators,DHH,,,982776553970761738,
DHH,oh can you stand on people's heads?,ALT,,,982791503028039712,
DHH,there are too many languages,ALT,,,982836154091073548,
DHH,I really wonder who IPA man is,AMS,,,982842017954533427,
DHH,oh i ate the human,ALT,,,983097445615534151,
DHH,i get lots of ducks thrown at me. that makes sense; i say lots of dumb things,ALT,,,983274328638500864,
DHH,i would never say anything so silly to be quoted. oh no.,ALT,,,983282414828789804,
DHH,i'm eating infinity. this is great.,ALT,,,983963724253634612,
ALT,just cut your brain in half and twist it up,DHH,,,984222435232592013,
YW,It’s 4 kilometer • miles,EJ,,,985332340899319829,
ALT,"maybe i should like, switch to windows",DHH,,,985383596208586762,
DHH,great you're a big pile of penguin,ALT,,,985391741647609926,
ALT,my tongue is not made out of bone!!,DHH,,,985404949494132748,
ALT,"we're just gonna, like, murder the lost orphan as soon as we find them",DHH,,,985406781540958248,
ALT,oxygen is fake,AMS,,,985717693275570287,
DHH,distress? i love distress!,ALT,,,985790567294324737,
ALT,"it's the past tense. no, that's vanwent",DHH,,,985829262357561354,
ALT,let's square dance in the middle of a busy highway,DHH,,,986069593321791558,
ALT,the problem is that eventually you play enough ftl that you run out of friends,DHH,,,986129608732729384,
DHH,"distress, distress! i love distress!",ALT,,,986134477099110412,
DHH,i already quoted that,DHH,,,986134477099110412,
DHH,that means i can say it without fear now,ALT,,,986134477099110412,
ALT,"you're on fire, congrats",DHH,,,986829683821805588,
DHH,murder is cool,ALT,,,986830087787798529,
ALT,dead things are good,DHH,,,986832568961880164,
ALT,i realized that numberwang and numberwang were numberwang,AMS,,,986840082705170492,
DHH,i don't know what socks are,ALT,,,986866709849858058,
DHH,those are big triangles. they have four sides.,ALT,,,987234874199003186,
ALT,is middle front a heist?,DHH,,,987291318768254986,
ABK,let's ignore time for a second,someone ABK knows,,,987751230979858462,
ALT,i want to be able to see all the objects in this category,DHH,not talking about math,,987832490020458616,
ALT,is orange a color?,DHH,,,987848805225463919,
ALT,i think that means green is red,AVG,,,987879767338549298,
ALT,distress! i love distress!,ABK,,,989012529642618910,
ALT,"so really, we're all victor, throwing fuel into the sun, in our hearts",AMS,,,989033180059283517,
DHH,i like rocks more than humans,ALT,,,989071213655629824,
RYN,"Oh, you're a person!",ALT,to ams,,989385506011885678,
DHH,I hate questions,AMS,,,989390821717602334,
DHH,"oops, i took a bite out of chicago",ALT,,,989431814944854036,
ALT,some umlauts arrived in england and conquered it over the course of a few years,DHH,,,989439604992114709,
DHH,children are really shiny sometimes,AMS,,,989747225057968178,
DHH,this nominative determinism is like really not my friend,AMS,,,990088541197451356,
DHH,i hate nominative determinism,AMS,,,990089085341274152,
DHH,why would you learn czech?,ALT,,,990166227819323412,
LBS,So you're going to leave my owl out of the feather fall fun?,JAMB,,,990463220428984330,
